GID,SEAS,Date,WEEK,V,H,PTSV,PTSH,Winner,Loser,home_win,Win_Margin,hGames,vGames,hWinP,vWinP
292972210,2009,10/24/2009,43,Chattanooga,Elon,10,45,Elon,Chattanooga,1,35,6,6,0.8333,0.6667
292972241,2009,10/24/2009,43,S Virginia,Gardner-Webb,0,65,Gardner-Webb,S Virginia,1,65,6,1,0.6667,0
292972261,2009,10/24/2009,43,S Carolina St,Hampton,21,9,S Carolina St,Hampton,0,12,6,5,0.5,0.8
292972275,2009,10/24/2009,43,New Hampshire,Hofstra,18,10,New Hampshire,Hofstra,0,8,7,6,0.5714,0.8333
292972305,2009,10/24/2009,43,Oklahoma,Kansas,35,13,Oklahoma,Kansas,0,22,6,6,0.8333,0.5
292972306,2009,10/24/2009,43,Colorado,Kansas State,6,20,Kansas State,Colorado,1,14,7,6,0.5714,0.3333
292972377,2009,10/24/2009,43,SE Louisiana,McNeese State,35,36,McNeese State,SE Louisiana,1,1,6,3,0.6667,0.3333
292972390,2009,10/24/2009,43,Clemson,Miami (FL),40,37,Clemson,Miami (FL),0,3,6,6,0.8333,0.5
292972393,2009,10/24/2009,43,W Kentucky,Middle Tennessee,24,62,Middle Tennessee,W Kentucky,1,38,6,6,0.5,0
292972400,2009,10/24/2009,43,Jackson State,Miss Valley St,25,16,Jackson State,Miss Valley St,0,9,4,6,0.25,0.1667
292972405,2009,10/24/2009,43,Albany,Monmouth,35,10,Albany,Monmouth,0,25,6,7,0.5,0.7143
292972413,2009,10/24/2009,43,Marist,Morehead State,24,14,Marist,Morehead State,0,10,7,6,0.2857,0.5
292972426,2009,10/24/2009,43,Wake Forest,Navy,10,13,Navy,Wake Forest,1,3,7,7,0.7143,0.5714
292972440,2009,10/24/2009,43,Idaho,Nevada,45,70,Nevada,Idaho,1,25,6,7,0.5,0.8571
292972449,2009,10/24/2009,43,Missouri State,North Dakota St,21,17,Missouri State,North Dakota St,0,4,2,7,0,0.5714
292972458,2009,10/24/2009,43,Weber State,Northern Colorado,28,20,Weber State,Northern Colorado,0,8,2,7,0.5,0.5714
292972464,2009,10/24/2009,43,Idaho State,N Arizona,12,40,N Arizona,Idaho State,1,28,3,7,0.3333,0
292972466,2009,10/24/2009,43,Texas State,Northwestern State,20,17,Texas State,Northwestern State,0,3,0,6,0,0.5
